Opuca_DB.Count_A.N0.1,"Opuca_DB"."Count_A"."N0.1"
Opuca_DB.Count_A.N0.2,"Opuca_DB"."Count_A"."N0.2"
Opuca_DB.Count_A.N0.3,"Opuca_DB"."Count_A"."N0.3"
Opuca_DB.Count_B,"Opuca_DB"."Count_B"
Opuca_DB.Radom_temp,"Opuca_DB"."Radom_temp"
Opuca_DB.Fake_TC_1.0,"Opuca_DB"."Fake_TC_1"[0]
Opuca_DB.Fake_TC_1.1,"Opuca_DB"."Fake_TC_1"[1]
Opuca_DB.Fake_TC_1.2,"Opuca_DB"."Fake_TC_1"[2]
Opuca_DB.Fake_TC_1.3,"Opuca_DB"."Fake_TC_1"[3]
Opuca_DB.Fake_TC_1.4,"Opuca_DB"."Fake_TC_1"[4]
Opuca_DB.Fake_TC_1.5,"Opuca_DB"."Fake_TC_1"[5]
Opuca_DB.Fake_TC_1.6,"Opuca_DB"."Fake_TC_1"[6]
Opuca_DB.Fake_TC_1.7,"Opuca_DB"."Fake_TC_1"[7]
Opuca_DB.Fake_TC_1.8,"Opuca_DB"."Fake_TC_1"[8]
Opuca_DB.Fake_TC_1.9,"Opuca_DB"."Fake_TC_1"[9]
Opuca_DB.Fake_TC_2.0,"Opuca_DB"."Fake_TC_2"[0]
Opuca_DB.Fake_TC_2.1,"Opuca_DB"."Fake_TC_2"[1]
Opuca_DB.Fake_TC_2.2,"Opuca_DB"."Fake_TC_2"[2]
Opuca_DB.Fake_TC_2.3,"Opuca_DB"."Fake_TC_2"[3]
Opuca_DB.Fake_TC_2.4,"Opuca_DB"."Fake_TC_2"[4]
Opuca_DB.Fake_TC_2.5,"Opuca_DB"."Fake_TC_2"[5]
Opuca_DB.Fake_TC_2.6,"Opuca_DB"."Fake_TC_2"[6]
Opuca_DB.Fake_TC_2.7,"Opuca_DB"."Fake_TC_2"[7]
Opuca_DB.Fake_TC_2.8,"Opuca_DB"."Fake_TC_2"[8]
Opuca_DB.Fake_TC_2.9,"Opuca_DB"."Fake_TC_2"[9]
Opuca_DB.Fake_TC_2.10,"Opuca_DB"."Fake_TC_2"[10]
Opuca_DB.Fake_TC_2.11,"Opuca_DB"."Fake_TC_2"[11]
Opuca_DB.Fake_TC_2.12,"Opuca_DB"."Fake_TC_2"[12]
Opuca_DB.Fake_TC_2.13,"Opuca_DB"."Fake_TC_2"[13]
Opuca_DB.Fake_TC_2.14,"Opuca_DB"."Fake_TC_2"[14]
Opuca_DB.Fake_TC_2.15,"Opuca_DB"."Fake_TC_2"[15]
Opuca_DB.Fake_TC_2.16,"Opuca_DB"."Fake_TC_2"[16]
Opuca_DB.Fake_TC_2.17,"Opuca_DB"."Fake_TC_2"[17]
Opuca_DB.Fake_TC_2.18,"Opuca_DB"."Fake_TC_2"[18]
Opuca_DB.Fake_TC_2.19,"Opuca_DB"."Fake_TC_2"[19]
Opuca_DB.Fake_TC_2.20,"Opuca_DB"."Fake_TC_2"[20]
Opuca_DB.Fake_TC_2.21,"Opuca_DB"."Fake_TC_2"[21]
Opuca_DB.Fake_TC_2.22,"Opuca_DB"."Fake_TC_2"[22]
Opuca_DB.Fake_TC_2.23,"Opuca_DB"."Fake_TC_2"[23]
Opuca_DB.Fake_TC_2.24,"Opuca_DB"."Fake_TC_2"[24]
Opuca_DB.Fake_TC_2.25,"Opuca_DB"."Fake_TC_2"[25]
Opuca_DB.Fake_TC_2.26,"Opuca_DB"."Fake_TC_2"[26]
Opuca_DB.Fake_TC_2.27,"Opuca_DB"."Fake_TC_2"[27]
Opuca_DB.Fake_TC_2.28,"Opuca_DB"."Fake_TC_2"[28]
Opuca_DB.Fake_TC_2.29,"Opuca_DB"."Fake_TC_2"[29]
Opuca_DB.Fake_TC_2.30,"Opuca_DB"."Fake_TC_2"[30]
Opuca_DB.Fake_TC_2.31,"Opuca_DB"."Fake_TC_2"[31]
Opuca_DB.Fake_TC_2.32,"Opuca_DB"."Fake_TC_2"[32]
Opuca_DB.Fake_TC_2.33,"Opuca_DB"."Fake_TC_2"[33]
Opuca_DB.Fake_TC_2.34,"Opuca_DB"."Fake_TC_2"[34]
Opuca_DB.Fake_TC_2.35,"Opuca_DB"."Fake_TC_2"[35]
Opuca_DB.Fake_TC_2.36,"Opuca_DB"."Fake_TC_2"[36]
Opuca_DB.Fake_TC_2.37,"Opuca_DB"."Fake_TC_2"[37]
Opuca_DB.Fake_TC_2.38,"Opuca_DB"."Fake_TC_2"[38]
Opuca_DB.Fake_TC_2.39,"Opuca_DB"."Fake_TC_2"[39]
