name,offset,type,alias,gain ,unit
001_set_sync_speed,0,Real,,,
002_Actual_sync_speed,4,Real,,,
003_set_Reel_length,8,Real,,,
004_Actual_reel_length,12,Real,,,
006_Line_Status,16,Real,,,
007_QC_Status,20,Real,,,
008_Dia_controller_status,24,Real,,,
009_login_status,28,Real,,,
011_Date,32,DTL,,,
012_Reserve,44,Real,,,
013_Ex1_set_speed,48,Real,,,
014_Ex1_Actual_speed,52,Real,,,
015_Ex1_motor_load,56,Real,,,
016_Ex1_Melt_Pressure,60,Real,,,
017_Ex1_Melt_temperature,64,Real,,,
018_Ex1_set_speed,68,Real,,,
019_Ex2_Actual_speed,72,Real,,,
020_Ex2_motor_load,76,Real,,,
021_Ex2_Melt_Pressure,80,Real,,,
022_Ex2_Melt_temperature,84,Real,,,
023_P/off_set_length,88,Real,,,
024_p/off_actual_length,92,Real,,,
025_Last_Reel_Length,96,Real,,,
026_Hot_Spark_set_voltage,100,Real,,,
027_Hot_spark_actual_voltage,104,Real,,,
028_hot_spark_count,108,Real,,,
029_Cold_Spark_set_voltage,112,Real,,,
030_Cold_spark_actual_voltage,116,Real,,,
031_Cold_spark_count,120,Real,,,
032_Chalk_Applicator_Status,124,Real,,,
033_Dryer_Status,128,Real,,,
034_Burner_Status,132,Real,,,
035_Ex1_Gear_Box_Temp,136,Real,,,
036_Ex1_BZ1_set_temperature,140,Real,,,
037_Ex1_BZ2_set_temperature,144,Real,,,
038_Ex1_CZ1_set_temperature,148,Real,,,
039_Ex1_CZ2_set_temperature,152,Real,,,
040_Ex1_CZ3_set_temperature,156,Real,,,
041_Ex1_FZ1_set_temperature,160,Real,,,
042_Ex1_HZ1_set_temperature,164,Real,,,
043_Ex1_HZ2_set_temperature,168,Real,,,
044_Ex1_HZ3_set_temperature,172,Real,,,
045_Ex1_HZ4_set_temperature,176,Real,,,
046_Ex1_HZ5_set_temperature,180,Real,,,
047_Ex1_BZ1_Actual_temperature,184,Real,,,
048_Ex1_BZ2_Actual_temperature,188,Real,,,
049_Ex1_CZ1_Actual_temperature,192,Real,,,
050_Ex1_CZ2_Actual_temperature,196,Real,,,
051_Ex1_CZ3_Actual_temperature,200,Real,,,
052_Ex1_FZ1_Actual_temperature,204,Real,,,
053_Ex1_HZ1_Actual_temperature,208,Real,,,
054_Ex1_HZ2_Actual_temperature,212,Real,,,
055_Ex1_HZ3_Actual_temperature,216,Real,,,
056_Ex1_HZ4_Actual_temperature,220,Real,,,
057_Ex1_HZ5_Actual_temperature,224,Real,,,
058_Ex1_BZ1_Heating/cooling_Status,228,Real,,,
059_Ex1_BZ2__Heating/cooling_Status,232,Real,,,
060_Ex1_CZ1__Heating/cooling_Status,236,Real,,,
061_Ex1_CZ2__Heating/cooling_Status,240,Real,,,
062_Ex1_CZ3__Heating/cooling_Status,244,Real,,,
063_Ex1_FZ1__Heating/cooling_Status,248,Real,,,
064_Ex1_HZ1__Heating/cooling_Status,252,Real,,,
065_Ex1_HZ2__Heating/cooling_Status,256,Real,,,
066_Ex1_HZ3__Heating/cooling_Status,260,Real,,,
067_Ex1_HZ4__Heating/cooling_Status,264,Real,,,
068_Ex1_HZ5__Heating/cooling_Status,268,Real,,,
069_Ex1_Cooling_unit_set_temp.,272,Real,,,
070_Ex1_Cooling_unit_Actual_temp.,276,Real,,,
071_Ex1_LH_Colour_dosing,280,Real,,,
072_Ex1_RH_Colour_dosing,284,Real,,,
073_Ex2_Gear_Box_Temp,288,Real,,,
074_Ex2_BZ1_set_temperature,292,Real,,,
075_Ex2_BZ2_set_temperature,296,Real,,,
076_Ex2_CZ1_set_temperature,300,Real,,,
077_Ex2_CZ2_set_temperature,304,Real,,,
078_Ex2_CZ3_set_temperature,308,Real,,,
079_Ex2_FZ1_set_temperature,312,Real,,,
080_Ex2_HZ1_set_temperature,316,Real,,,
081_Ex2_HZ2_set_temperature,320,Real,,,
082_Ex2_HZ3_set_temperature,324,Real,,,
083_Ex2_BZ1_Actual_temperature,328,Real,,,
084_Ex2_BZ2_Actual_temperature,332,Real,,,
085_Ex2_CZ1_Actual_temperature,336,Real,,,
086_Ex2_CZ2_Actual_temperature,340,Real,,,
087_Ex2_CZ3_Actual_temperature,344,Real,,,
088_Ex2_FZ1_Actual_temperature,348,Real,,,
089_Ex2_HZ1_Actual_temperature,352,Real,,,
090_Ex2_HZ2_Actual_temperature,356,Real,,,
091_Ex2_HZ3_Actual_temperature,360,Real,,,
092_Ex2_BZ1_Heating/cooling_Status,364,Real,,,
093_Ex2_BZ2__Heating/cooling_Status,368,Real,,,
094_Ex2_CZ1__Heating/cooling_Status,372,Real,,,
095_Ex2_CZ2__Heating/cooling_Status,376,Real,,,
096_Ex2_CZ3__Heating/cooling_Status,380,Real,,,
097_Ex2_FZ1__Heating/cooling_Status,384,Real,,,
098_Ex2_HZ1__Heating/cooling_Status,388,Real,,,
099_Ex2_HZ2__Heating/cooling_Status,392,Real,,,
100_Ex2_HZ3__Heating/cooling_Status,396,Real,,,
101_Ex2_Cooling_unit_set_temp.,400,Real,,,
102_Ex2_Cooling_unit_Actual_temp.,404,Real,,,
103_Ex2_LH_Colour_dosing,408,Real,,,
104_Ex2_RH_Colour_dosing,412,Real,,,
105_Hot_y_axis_set_dia_,416,Real,,,
106_Hot_y_axis_actual_dia_,420,Real,,,
